level_0,customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
36,KY38074,CALIFORNIA,F,Bachelor,1389173,42305,117,0,Personal Auto,FOUR-DOOR CAR,561
37,DM79012,OREGON,F,Master,738097,65706,91,0,Personal Auto,FOUR-DOOR CAR,436
38,CM61827,OREGON,F,Bachelor,309003,0,90,0,Personal Auto,TWO-DOOR CAR,648
39,WC35801,ARIZONA,F,High School or Below,252163,53243,66,2,Personal Auto,FOUR-DOOR CAR,157
40,QG25316,NEVADA,F,High School or Below,265206,0,70,1,Corporate Auto,TWO-DOOR CAR,484
41,MB98372,OREGON,F,College,277104,50071,71,0,Corporate Auto,TWO-DOOR CAR,18
42,IL19217,CALIFORNIA,F,Bachelor,393900,60021,99,0,Personal Auto,FOUR-DOOR CAR,882
43,SR38658,ARIZONA,F,High School or Below,1223187,43244,103,0,Personal Auto,LUXURY,494
44,YD87931,WASHINGTON,M,Doctor,495165,46896,35354,1,Personal Auto,FOUR-DOOR CAR,31
45,HG65722,OREGON,F,Doctor,1281910,10105,172,3,Personal Auto,SUV,0
46,BU27331,ARIZONA,F,Bachelor,446851,0,73,3,Personal Auto,FOUR-DOOR CAR,579
47,XM45289,OREGON,F,High School or Below,551434,23218,71,0,Personal Auto,TWO-DOOR CAR,447
48,KP34198,CALIFORNIA,F,Bachelor,334387,0,92,0,Corporate Auto,FOUR-DOOR CAR,529
49,SH90947,ARIZONA,F,High School or Below,229447,0,62,0,Personal Auto,FOUR-DOOR CAR,313
50,WE95729,OREGON,F,College,3670742,24804,104,0,Personal Auto,SUV,593
51,PY51963,CALIFORNIA,F,Bachelor,3347334,33190,106,0,Corporate Auto,SUV,508
52,RB69909,NEVADA,F,High School or Below,798343,36014,69,3,Special Auto,FOUR-DOOR CAR,173
53,NW21079,WASHINGTON,F,Master,487938,67163,61,2,Personal Auto,TWO-DOOR CAR,33
54,FR46645,CALIFORNIA,F,Bachelor,429399,16701,113,0,Personal Auto,FOUR-DOOR CAR,831
55,SY17488,ARIZONA,F,College,716439,46623,91,0,Corporate Auto,FOUR-DOOR CAR,436
56,AP67935,CALIFORNIA,F,College,761951,64749,64,0,Special Auto,FOUR-DOOR CAR,302
57,FS37417,ARIZONA,F,High School or Below,395800,0,101,0,Personal Auto,SUV,484
58,ML29312,OREGON,F,High School or Below,449949,16969,124,2,Personal Auto,SUV,704
59,UB61619,OREGON,F,Master,405956,11621,108,0,Personal Auto,FOUR-DOOR CAR,518
60,CD86811,ARIZONA,F,Bachelor,445811,17622,65,1,Personal Auto,FOUR-DOOR CAR,312
61,RU83859,CALIFORNIA,F,Bachelor,811033,11489,105,0,Personal Auto,TWO-DOOR CAR,504
62,FG63582,OREGON,F,Bachelor,333976,0,94,0,Personal Auto,TWO-DOOR CAR,863
63,NN71951,CALIFORNIA,F,High School or Below,2426101,66525,100,0,Personal Auto,SUV,104
64,WB37082,ARIZONA,F,Bachelor,661397,0,63,0,Personal Auto,FOUR-DOOR CAR,676
65,SM52139,Washington,F,College,293069,33663,73,0,Personal Auto,FOUR-DOOR CAR,350
66,FL82372,OREGON,F,College,867219,22547,112,0,Corporate Auto,SUV,537
67,DP45816,Arizona,F,High School or Below,1163866,61486,97,0,Personal Auto,TWO-DOOR CAR,465
68,GW33762,OREGON,F,Bachelor,684615,0,95,0,Personal Auto,TWO-DOOR CAR,456
69,RZ33670,CALIFORNIA,F,College,1172777,29879,102,0,Personal Auto,FOUR-DOOR CAR,500
70,PY70169,OREGON,F,High School or Below,2264383,93011,113,0,Personal Auto,SUV,281
71,MO91628,OREGON,F,Master,261447,65186,65,0,Personal Auto,TWO-DOOR CAR,5
72,HW87852,OREGON,F,Master,245175,26840,64,2,Personal Auto,FOUR-DOOR CAR,307
73,HB20453,OREGON,F,Bachelor,678127,0,104,1,Personal Auto,LUXURY,982
74,BN87372,OREGON,F,Bachelor,497480,75644,65,3,Personal Auto,TWO-DOOR CAR,467
75,YX23800,OREGON,F,Bachelor,859160,38984,73,0,Personal Auto,FOUR-DOOR CAR,350
76,DZ87709,OREGON,F,High School or Below,559216,71811,71,0,Personal Auto,FOUR-DOOR CAR,29
77,XW13033,NEVADA,F,College,800947,20961,67,0,Personal Auto,FOUR-DOOR CAR,321
78,SP81997,WASHINGTON,F,Master,793690,41275,96,0,Personal Auto,FOUR-DOOR CAR,41
79,OM82309,CALIFORNIA,F,Bachelor,5816655,61321,186,1,Personal Auto,LUXURY,427
80,ZU35962,CALIFORNIA,F,College,802522,0,77,0,Personal Auto,TWO-DOOR CAR,25
81,VH85817,CALIFORNIA,F,High School or Below,578018,51066,74,0,Personal Auto,FOUR-DOOR CAR,787
82,DT85712,CALIFORNIA,F,Doctor,411853,34378,102,0,Personal Auto,SUV,489
83,YJ88573,NEVADA,F,Master,252307,43072,63,0,Personal Auto,FOUR-DOOR CAR,302
84,SQ19467,OREGON,F,College,655421,25222,90,0,Personal Auto,FOUR-DOOR CAR,475
85,YB66933,WASHINGTON,F,Bachelor,538275,77552,68,1,Corporate Auto,FOUR-DOOR CAR,45
86,ET79815,CALIFORNIA,F,College,592672,23091,96,5,Personal Auto,FOUR-DOOR CAR,460
87,QC35222,CALIFORNIA,F,Bachelor,268347,48269,69,3,Corporate Auto,FOUR-DOOR CAR,282
88,CJ15590,OREGON,F,Bachelor,269518,32720,67,0,Personal Auto,FOUR-DOOR CAR,321
89,OI48267,CALIFORNIA,F,College,604702,20396,76,1,Personal Auto,FOUR-DOOR CAR,364
90,JY67916,OREGON,F,College,1317101,21513,119,1,Personal Auto,TWO-DOOR CAR,679
91,OW15518,WASHINGTON,F,College,1595001,0,87,1,Personal Auto,TWO-DOOR CAR,46
92,CZ33664,OREGON,F,Bachelor,252765,80744,63,0,Corporate Auto,FOUR-DOOR CAR,11
93,WK30175,OREGON,F,Bachelor,267209,52822,67,0,Corporate Auto,TWO-DOOR CAR,350
94,ON44465,CALIFORNIA,F,High School or Below,531329,0,77,1,Personal Auto,FOUR-DOOR CAR,863
95,TV87155,OREGON,F,Bachelor,2094619,69738,74,1,Personal Auto,FOUR-DOOR CAR,492
96,KH48895,Arizona,F,Master,837535,17780,109,0,Personal Auto,SUV,132
97,NZ30757,CALIFORNIA,F,Bachelor,480166,18107,62,0,Personal Auto,FOUR-DOOR CAR,297
98,RI22468,Arizona,F,Bachelor,574594,57740,74,3,Personal Auto,FOUR-DOOR CAR,269
99,FZ30935,OREGON,F,College,606611,32627,76,0,Personal Auto,TWO-DOOR CAR,380
100,UG93476,CALIFORNIA,F,College,800230,0,107,0,Personal Auto,SUV,513
101,AB96670,CALIFORNIA,F,College,239391,0,70,0,Personal Auto,FOUR-DOOR CAR,425
102,XK64261,OREGON,F,Bachelor,476281,65795,62,1,Corporate Auto,TWO-DOOR CAR,49
103,EV68375,CALIFORNIA,F,College,433038,60475,107,0,Personal Auto,FOUR-DOOR CAR,513
104,UN51653,CALIFORNIA,F,High School or Below,940272,0,130,0,Personal Auto,SUV,936
105,TO96662,OREGON,F,Bachelor,696669,41837,88,0,Personal Auto,FOUR-DOOR CAR,142
106,MR52087,CALIFORNIA,F,Bachelor,769406,32303,65,0,Personal Auto,FOUR-DOOR CAR,45
107,DE75225,OREGON,F,High School or Below,871756,0,117,1,Personal Auto,SUV,561
108,EP80820,CALIFORNIA,F,Bachelor,592874,40531,74,0,Personal Auto,TWO-DOOR CAR,30
109,GU99037,OREGON,F,College,245297,79898,62,1,Corporate Auto,FOUR-DOOR CAR,271
110,WI57118,CALIFORNIA,F,College,670157,56398,85,0,Personal Auto,FOUR-DOOR CAR,408
111,GP39118,WASHINGTON,M,High School or Below,499655,71600,63,0,Personal Auto,TWO-DOOR CAR,46
112,MQ14219,Arizona,F,College,849269,27804,109,0,Personal Auto,SUV,784
113,KN20603,OREGON,F,Bachelor,771349,45506,66,2,Personal Auto,FOUR-DOOR CAR,316
114,SG20925,WASHINGTON,F,Master,518579,99428,6464,1,Personal Auto,FOUR-DOOR CAR,48
115,JI70886,CALIFORNIA,F,High School or Below,729006,0,102,1,Corporate Auto,SUV,489
116,VF72557,OREGON,F,High School or Below,477294,20993,133,0,Personal Auto,SUV,638
117,OX28638,Arizona,F,High School or Below,680649,37839,86,0,Personal Auto,TWO-DOOR CAR,465
118,SK55033,CALIFORNIA,F,Bachelor,246978,92711,62,0,Personal Auto,TWO-DOOR CAR,368
119,OO88645,CALIFORNIA,F,College,310392,74665,78,2,Corporate Auto,FOUR-DOOR CAR,236
120,FM14335,WASHINGTON,F,College,1048491,61108,89,0,Personal Auto,FOUR-DOOR CAR,49
121,CW82151,CALIFORNIA,F,Bachelor,890273,46833,112,0,Personal Auto,LUXURY,64
122,DY22043,OREGON,F,High School or Below,549944,88768,68,0,Personal Auto,TWO-DOOR CAR,326
123,SH36774,CALIFORNIA,F,High School or Below,1502359,28262,192,0,Personal Auto,LUXURY,921
124,EM43724,NEVADA,F,Bachelor,250910,33555,63,0,Personal Auto,FOUR-DOOR CAR,101
125,FH85960,OREGON,F,College,3122174,42780,113,1,Personal Auto,FOUR-DOOR CAR,542
126,XA55993,OREGON,F,Master,313350,58850,78,0,Personal Auto,FOUR-DOOR CAR,143
127,GO36627,Arizona,F,College,383745,21880,97,0,Special Auto,FOUR-DOOR CAR,424
128,QH48047,OREGON,F,College,1179049,25251,66,0,Personal Auto,FOUR-DOOR CAR,316
129,HS28694,WASHINGTON,F,High School or Below,282986,25317,71,0,Personal Auto,TWO-DOOR CAR,50
130,UH65059,Arizona,F,High School or Below,430580,24188,109,0,Personal Auto,LUXURY,523
131,FV21968,NEVADA,F,Bachelor,597397,41611,74,0,Special Auto,FOUR-DOOR CAR,113
132,QA87025,OREGON,F,Bachelor,567044,28406,72,1,Personal Auto,FOUR-DOOR CAR,192
133,TQ13499,Arizona,F,College,473174,69833,118,0,Personal Auto,FOUR-DOOR CAR,828
134,BU44523,Arizona,F,High School or Below,802637,0,74,0,Corporate Auto,FOUR-DOOR CAR,532
135,MS41162,Arizona,F,High School or Below,402296,0,117,0,Personal Auto,SUV,975
136,PU25891,OREGON,F,High School or Below,961831,80536,119,0,Special Auto,LUXURY,53
137,LH92841,WASHINGTON,F,Bachelors,725595,88891,89,0,Personal Auto,FOUR-DOOR CAR,50
138,SX26335,OREGON,F,College,955292,97732,79,0,Personal Auto,FOUR-DOOR CAR,289
139,AZ95587,Arizona,F,Bachelor,1038855,61222,89,0,Special Auto,FOUR-DOOR CAR,392
140,DS81757,OREGON,M,College,247012,0,74,0,Personal Auto,TWO-DOOR CAR,721
141,OJ94107,Arizona,M,Master,561906,50335,140,0,Personal Auto,SUV,456
142,LP84436,CALIFORNIA,F,High School or Below,904711,0,127,0,Personal Auto,LUXURY,1087
143,FF22360,WASHINGTON,F,Doctor,268731,82210,68,4,Personal Auto,FOUR-DOOR CAR,51
144,LM19287,OREGON,F,High School or Below,373150,0,96,0,Personal Auto,FOUR-DOOR CAR,460
145,ZU18643,NEVADA,M,Bachelor,366077,64495,92,0,Corporate Auto,FOUR-DOOR CAR,251
146,AZ82578,CALIFORNIA,F,College,792882,0,72,0,Corporate Auto,FOUR-DOOR CAR,345
147,XC67861,ARIZONA,F,Bachelor,501175,28859,67,3,Corporate Auto,TWO-DOOR CAR,321
148,YC43143,ARIZONA,F,High School or Below,798825,77330,99,0,Personal Auto,FOUR-DOOR CAR,99
149,EK59571,OREGON,M,College,388545,0,105,0,Corporate Auto,FOUR-DOOR CAR,504
150,PA38372,WASHINGTON,F,High School or Below,935773,33060,117,0,Personal Auto,FOUR-DOOR CAR,56
151,RO18530,WASHINGTON,M,Master,254068,42557,65,0,Personal Auto,FOUR-DOOR CAR,57
152,PD27940,ARIZONA,M,High School or Below,488516,26372,126,0,Personal Auto,SUV,604
153,BS77946,ARIZONA,F,Bachelor,975330,17514,127,0,Personal Auto,SUV,8
154,YM50253,CALIFORNIA,F,Bachelor,294615,89270,74,0,Personal Auto,FOUR-DOOR CAR,316
155,NR15332,CALIFORNIA,M,High School or Below,258111,29757,65,0,Personal Auto,FOUR-DOOR CAR,312
156,RC62865,OREGON,M,College,351738,51814,92,0,Personal Auto,FOUR-DOOR CAR,56
157,CC15295,OREGON,F,Bachelor,974335,24028,82,0,Personal Auto,FOUR-DOOR CAR,393
158,KA61892,ARIZONA,M,College,387364,28142,105,0,Personal Auto,LUXURY,701
159,OS94884,ARIZONA,F,Bachelor,764928,52705,64,1,Personal Auto,TWO-DOOR CAR,128
160,ND87334,CALIFORNIA,M,High School or Below,228759,0,63,0,Corporate Auto,TWO-DOOR CAR,679
161,OY51402,WASHINGTON,F,High School or Below,825576,54040,103,0,Personal Auto,SUV,59
162,YL74911,CALIFORNIA,F,College,871492,0,118,0,Personal Auto,SUV,566
163,GK92563,WASHINGTON,F,Doctor,681923,22492,85,0,Personal Auto,TWO-DOOR CAR,61
164,HL53154,CALIFORNIA,M,Bachelor,741619,0,77,2,Personal Auto,FOUR-DOOR CAR,554
165,RI78966,OREGON,M,Master,777115,21876,68,0,Personal Auto,FOUR-DOOR CAR,465
166,IC13702,CALIFORNIA,F,Bachelor,696834,0,69,1,Personal Auto,FOUR-DOOR CAR,496
167,BE10809,CALIFORNIA,F,High School or Below,425028,0,61,1,Personal Auto,FOUR-DOOR CAR,292
168,HT87217,OREGON,F,High School or Below,1977656,70699,82,0,Personal Auto,FOUR-DOOR CAR,256
169,TH95618,CALIFORNIA,F,High School or Below,2134346,0,74,1,Personal Auto,FOUR-DOOR CAR,355
170,TS19868,CALIFORNIA,M,College,241313,27501,63,0,Personal Auto,FOUR-DOOR CAR,542
171,LP45550,OREGON,F,Doctor,1536384,15897,101,0,Personal Auto,FOUR-DOOR CAR,303
172,QR87004,NEVADA,F,College,845696,25141,73,1,Personal Auto,FOUR-DOOR CAR,25
173,OE75747,NEVADA,F,College,218964,0,61,3,Personal Auto,FOUR-DOOR CAR,292
174,DX91392,CALIFORNIA,M,High School or Below,578018,51066,74,0,Personal Auto,FOUR-DOOR CAR,787
175,AB72731,CALIFORNIA,F,Bachelor,463998,28358,117,0,Personal Auto,LUXURY,84
176,GX84338,WASHINGTON,F,Doctor,382443,62530,95,0,Personal Auto,FOUR-DOOR CAR,61
177,IS12901,ARIZONA,F,Bachelor,596811,90972,74,0,Personal Auto,TWO-DOOR CAR,232
178,BN90616,WASHINGTON,F,Bachelor,859033,63110,72,0,Personal Auto,FOUR-DOOR CAR,68
179,HH90090,CALIFORNIA,F,Bachelor,407663,29549,104,0,Personal Auto,LUXURY,710
180,IU25463,CALIFORNIA,F,Bachelor,1225260,0,115,1,Personal Auto,FOUR-DOOR CAR,552
181,KC11055,NEVADA,F,Bachelor,1693627,39411,217,2,Personal Auto,LUXURY,1122
182,PD33979,OREGON,M,High School or Below,489243,21709,62,0,Personal Auto,FOUR-DOOR CAR,408
183,NK71023,NEVADA,M,Bachelor,994230,67890,85,0,Personal Auto,FOUR-DOOR CAR,408
184,AB13432,CALIFORNIA,M,Bachelor,373583,0,110,0,Personal Auto,SUV,792
185,OZ97704,CALIFORNIA,F,High School or Below,1311752,84311,111,4,Personal Auto,SUV,532
186,UF46533,CALIFORNIA,F,College,457452,99316,114,0,Corporate Auto,SUV,754
187,XP47431,ARIZONA,F,Bachelor,547006,54507,138,0,Personal Auto,SUV,702
188,GK73582,CALIFORNIA,F,Bachelor,297884,64586,76,0,Personal Auto,FOUR-DOOR CAR,206
189,RV98763,OREGON,M,College,641096,61709,82,2,Personal Auto,FOUR-DOOR CAR,275
190,II62831,CALIFORNIA,M,Master,447902,94656,111,1,Special Auto,SUV,459
191,XK33449,CALIFORNIA,F,High School or Below,238373,0,69,0,Special Auto,TWO-DOOR CAR,496
192,TR85083,CALIFORNIA,M,Bachelor,276449,61085,70,1,Personal Auto,TWO-DOOR CAR,336
193,EO95328,OREGON,F,Bachelor,792010,89284,67,3,Personal Auto,TWO-DOOR CAR,321
194,EN21086,ARIZONA,F,High School or Below,688909,0,63,0,Personal Auto,FOUR-DOOR CAR,302
195,YL83902,Washington,F,Bachelor,327419,31686,81,0,Personal Auto,FOUR-DOOR CAR,430
196,AZ62651,OREGON,M,High School or Below,995170,56855,255,0,Corporate Auto,LUXURY,1836
197,ZW25874,OREGON,M,Bachelor,252155,53703,67,2,Special Auto,FOUR-DOOR CAR,67
198,EH41854,Washington,F,High School or Below,2370611,0,96,1,Personal Auto,TWO-DOOR CAR,844
199,MW70227,CALIFORNIA,M,College,604702,20396,76,1,Personal Auto,FOUR-DOOR CAR,364
200,SL22297,CALIFORNIA,F,Master,1114030,27679,150,0,Personal Auto,SUV,722
201,RV14138,NEVADA,F,Bachelor,433406,23904,123,3,Personal Auto,SUV,590
202,UO62808,ARIZONA,F,High School or Below,279974,65351,69,0,Corporate Auto,FOUR-DOOR CAR,481
203,ZX64745,CALIFORNIA,M,College,792313,0,113,0,Personal Auto,SUV,1124
204,FL34139,CALIFORNIA,M,High School or Below,368811,0,63,3,Personal Auto,FOUR-DOOR CAR,669
205,TS11219,CALIFORNIA,M,College,1206745,0,116,0,Personal Auto,SUV,1284
206,XX12304,CALIFORNIA,F,College,292497,64459,72,0,Personal Auto,FOUR-DOOR CAR,240
207,SD64087,CALIFORNIA,M,College,1501409,32961,190,0,Corporate Auto,SUV,912
208,OY38576,OREGON,F,High School or Below,927723,71416,116,0,Corporate Auto,SUV,556
209,BG76355,Washington,F,Bachelor,627412,68964,78,0,Personal Auto,FOUR-DOOR CAR,115
210,IP66913,California,M,High School or Below,388664,78108,98,0,Personal Auto,TWO-DOOR CAR,470
211,LE95702,California,M,College,438627,10621,67,0,Special Auto,FOUR-DOOR CAR,321
212,KX54357,Washington,M,College,1136526,84910,95,0,Corporate Auto,TWO-DOOR CAR,383
213,EZ78112,California,F,High School or Below,561096,77493,70,0,Special Auto,FOUR-DOOR CAR,307
214,XN16891,ARIZONA,M,College,291289,81097,74,0,Personal Auto,FOUR-DOOR CAR,355
215,XK31350,OREGON,F,College,691572,96610,85,0,Corporate Auto,FOUR-DOOR CAR,520
216,CC30924,OREGON,M,College,626266,30110,159,0,Corporate Auto,LUXURY,466
217,IT78748,OREGON,F,High School or Below,650339,22081,84,0,Special Auto,TWO-DOOR CAR,451
218,KY33386,Washington,F,High School or Below,800739,0,112,0,Personal Auto,LUXURY,537
219,CO44221,California,M,College,292991,98473,72,0,Personal Auto,FOUR-DOOR CAR,345
220,LK60013,OREGON,F,Bachelor,596955,97431,74,0,Personal Auto,FOUR-DOOR CAR,355
221,DE21533,California,M,Bachelor,547315,93870,69,0,Personal Auto,FOUR-DOOR CAR,331
222,YS94121,NEVADA,M,High School or Below,564539,50366,72,0,Personal Auto,FOUR-DOOR CAR,428
223,UK68427,Washington,M,High School or Below,636926,34498,83,0,Personal Auto,TWO-DOOR CAR,398
224,TE49565,OREGON,F,College,1183376,16552,103,0,Personal Auto,SUV,494
225,RA88421,OREGON,F,College,612110,26787,77,0,Personal Auto,FOUR-DOOR CAR,369
226,KQ51983,NEVADA,M,College,515936,0,74,0,Personal Auto,TWO-DOOR CAR,831
227,CD88896,NEVADA,F,High School or Below,251459,43860,65,0,Corporate Auto,FOUR-DOOR CAR,156
228,YV22553,ARIZONA,M,High School or Below,866861,21474,114,2,Corporate Auto,SUV,373
229,WU14435,California,M,Bachelor,496096,18174,66,0,Corporate Auto,FOUR-DOOR CAR,395
230,XV84099,ARIZONA,F,Bachelor,550413,0,73,0,Corporate Auto,FOUR-DOOR CAR,350
231,RI24911,ARIZONA,M,College,750745,60920,64,0,Personal Auto,TWO-DOOR CAR,231
232,KO26461,ARIZONA,M,High School or Below,3226985,41520,90,0,Personal Auto,FOUR-DOOR CAR,289
233,HI14283,OREGON,F,Bachelor,565703,0,152,0,Personal Auto,SUV,729
234,PT50227,ARIZONA,M,High School or Below,506175,0,68,0,Personal Auto,TWO-DOOR CAR,326
235,BH36570,California,M,Bachelor,591278,72208,73,0,Personal Auto,TWO-DOOR CAR,350
236,TX17484,California,F,Bachelor,1518227,53863,63,0,Personal Auto,FOUR-DOOR CAR,105
237,CT41158,Washington,M,College,1074703,66446,136,0,Corporate Auto,SUV,639
238,AO87348,Washington,M,College,205062,0,61,0,Personal Auto,FOUR-DOOR CAR,292
239,DE55857,Washington,F,Bachelor,246544,64997,63,1,Personal Auto,FOUR-DOOR CAR,383
240,LF66923,NEVADA,F,High School or Below,534312,64460,66,0,Corporate Auto,TWO-DOOR CAR,316
241,CN24514,ARIZONA,F,College,811982,46618,67,0,Personal Auto,FOUR-DOOR CAR,99
242,UW32074,OREGON,F,College,460526,0,64,0,Corporate Auto,FOUR-DOOR CAR,307
243,HP36979,California,M,College,640878,49988,84,5,Personal Auto,TWO-DOOR CAR,566
244,PP40919,California,F,College,237653,0,91,5,Personal Auto,TWO-DOOR CAR,436
245,RO73268,California,M,Bachelor,321107,16269,86,0,Corporate Auto,TWO-DOOR CAR,412
246,HO61691,ARIZONA,F,Bachelor,509452,72006,64,0,Personal Auto,FOUR-DOOR CAR,307
247,BS13062,ARIZONA,F,High School or Below,2575527,0,81,2,Personal Auto,FOUR-DOOR CAR,388
248,FO35655,OREGON,M,Bachelor,867222,0,245,0,Corporate Auto,LUXURY,2345
249,HR10526,California,M,Master,804473,44320,67,0,Personal Auto,FOUR-DOOR CAR,321
250,IA63417,ARIZONA,F,High School or Below,400151,19782,108,0,Personal Auto,TWO-DOOR CAR,773
251,BH35016,NEVADA,F,Bachelor,1670611,63933,70,0,Personal Auto,TWO-DOOR CAR,424
252,PK52952,ARIZONA,M,Doctor,854441,28224,109,0,Personal Auto,SUV,523
253,OD76309,Washington,F,College,780531,21073,106,1,Personal Auto,SUV,508
254,IL28481,OREGON,M,Bachelor,611275,63243,77,0,Personal Auto,FOUR-DOOR CAR,364
255,GY55092,NEVADA,M,High School or Below,477294,20993,133,0,Personal Auto,SUV,638
256,UF33451,OREGON,F,Bachelor,1097909,94827,135,0,Personal Auto,SUV,354
257,CF15558,California,F,Master,500426,39161,63,1,Personal Auto,TWO-DOOR CAR,283
258,JM62924,Washington,M,Bachelor,1322304,37534,84,2,Personal Auto,FOUR-DOOR CAR,403
259,EM66435,OREGON,F,Bachelor,262331,80210,65,0,Corporate Auto,FOUR-DOOR CAR,20
260,QX45933,California,M,Bachelor,1784019,0,62,0,Personal Auto,FOUR-DOOR CAR,385
261,JI71369,California,F,College,510611,30110,64,0,Personal Auto,FOUR-DOOR CAR,140
262,JU93290,ARIZONA,F,College,1793060,21708,68,0,Personal Auto,FOUR-DOOR CAR,326
263,GU66096,ARIZONA,M,High School or Below,545734,94731,67,0,Personal Auto,FOUR-DOOR CAR,321
264,UC33108,California,M,Bachelor,656364,32375,83,0,Personal Auto,FOUR-DOOR CAR,398
265,LW93867,OREGON,M,College,481252,16531,63,0,Corporate Auto,FOUR-DOOR CAR,102
266,OU78470,ARIZONA,F,Master,2932804,32006,94,0,Corporate Auto,FOUR-DOOR CAR,56
267,XW90265,ARIZONA,F,Bachelor,577352,81676,72,0,Personal Auto,TWO-DOOR CAR,463
268,HS67749,California,M,College,684711,71038,86,0,Corporate Auto,FOUR-DOOR CAR,205
269,VZ51506,ARIZONA,F,High School or Below,359531,0,103,0,Corporate Auto,LUXURY,741
270,UI64281,NEVADA,F,Master,2285561,20832,65,0,Personal Auto,TWO-DOOR CAR,56
271,AE98193,Washington,M,High School or Below,785941,0,113,0,Personal Auto,SUV,813
272,AZ74055,OREGON,M,High School or Below,411557,52405,103,0,Personal Auto,FOUR-DOOR CAR,494
273,XS76911,ARIZONA,F,High School or Below,502963,0,133,0,Personal Auto,LUXURY,795
274,AY40674,Washington,F,Bachelor,482141,26583,1005,4,Personal Auto,SUV,614
275,NA12740,OREGON,M,Master,500431,25486,65,0,Special Auto,TWO-DOOR CAR,72
276,UA84837,ARIZONA,M,College,863005,24065,111,0,Corporate Auto,FOUR-DOOR CAR,532
